recommendationid,appid,game,language,review,timestamp_created,timestamp_updated,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,hidden_in_steam_china,steam_china_location
53207517,10,Counter-Strike,english,GOOD GAME ;D,1562091476,1562091476,1,1,0,0.523809552192688,0,1,0,0,0,
53209670,10,Counter-Strike,russian,отличная игрАААА,1562092177,1562092177,1,0,0,0.0,0,1,0,0,0,
53212527,10,Counter-Strike,english,"Just outdated, go for csgo",1562093087,1562093087,0,0,0,0.48022598028183,0,1,0,0,0,
53216497,10,Counter-Strike,spanish,legendario <3 xd,1562094402,1562094402,1,0,0,0.0,0,1,0,0,0,
53217392,10,Counter-Strike,english,niceeeeeeeeeeee,1562094684,1562094684,1,0,0,0.0,0,1,0,0,0,
53219051,10,Counter-Strike,english,is a cool games...,1562095245,1562095245,1,0,0,0.0,0,0,0,0,0,
53219809,10,Counter-Strike,english,Mňam do piči,1562095495,1562095495,1,0,1,0.0,0,1,0,0,0,
53222459,10,Counter-Strike,russian,Было дело!,1562096339,1562096339,1,0,0,0.0,0,1,0,0,0,
53223114,10,Counter-Strike,english,SFfdsagfs,1562096550,1562096550,1,0,0,0.0,0,1,0,0,0,
53223765,10,Counter-Strike,russian,I old,1562096772,1562096772,1,0,0,0.0,0,1,0,0,0,
53225606,10,Counter-Strike,russian,Ух сук аж детство вспомнил),1562097387,1562097387,1,0,0,0.0,0,1,0,0,0,
53225848,10,Counter-Strike,spanish,NICE GAME B1TCH,1562097464,1562097464,1,1,0,0.523809552192688,0,1,0,0,0,
53230192,10,Counter-Strike,turkish,Günümüz Oyunlarından Sıkıldınızmı kendinize kokain gibi gelicek olan Counter Strike 1.6 sürümü Jailbreak oynayarak eski günlerinizi hatırlayabilirsiniz,1562098949,1562098949,1,1,0,0.47826087474823,0,1,0,0,0,
53230861,10,Counter-Strike,english,foarte tare,1562099180,1562099180,1,0,0,0.0,0,0,0,0,0,
53234168,10,Counter-Strike,russian,Супер пупер,1562100296,1562100296,1,1,1,0.523809552192688,0,1,0,0,0,
53237452,10,Counter-Strike,russian,Путин помоги,1562101509,1562101509,1,3,0,0.562043786048889,0,1,0,0,0,
53252081,10,Counter-Strike,spanish,RECOMENDADO ME PARECE DIVERTIDO Y HISTORICO,1562107387,1562107387,1,0,0,0.0,0,0,0,0,0,
53259580,10,Counter-Strike,brazilian,Melhor que comer puta,1562110917,1562110917,1,0,0,0.0,0,1,0,0,0,
53263424,10,Counter-Strike,brazilian,Melhor C.S de todos os tempos! Lan House ficava cheio de gente pra jogar!,1562112830,1562112830,1,0,0,0.0,0,1,0,0,0,
53264663,10,Counter-Strike,hungarian,Faxa lenne...,1562113481,1562113481,1,0,0,0.0,0,1,0,0,0,
53264675,10,Counter-Strike,english,"Best game,best memories.",1562113486,1562113486,1,0,0,0.0,0,0,1,0,0,
53272768,10,Counter-Strike,latam,esta vrgas,1562117722,1562117722,1,0,0,0.0,0,1,0,0,0,
53273528,10,Counter-Strike,russian,"игра хорошая, кладмен дурак, прикоп 30 метров",1562118142,1562118142,1,0,0,0.0,0,1,0,0,0,
53282821,10,Counter-Strike,english,vac banned,1562123288,1568663530,1,0,0,0.0,0,1,0,0,0,
53290400,10,Counter-Strike,russian,Очень крутая  ,1562127752,1562127752,1,0,0,0.0,0,1,1,0,0,
53297908,10,Counter-Strike,spanish,Muy buen juego chikis puros lulos,1562132395,1562132395,1,1,0,0.5,0,1,0,0,0,
53303440,10,Counter-Strike,english,i like this game:> Even if it's old its the best game i ever played,1562135830,1562135830,1,0,0,0.0,0,1,0,0,0,
53304677,10,Counter-Strike,english,Good inGame competitions.,1562136582,1562136582,1,1,1,0.523809552192688,0,1,0,0,0,
53310072,10,Counter-Strike,english,its so bad not like the one in the began ,1562139815,1562139815,1,0,0,0.476190477609634,0,1,0,0,0,
53316640,10,Counter-Strike,polish,"Napisz recenzję dla Counter-Strike Opisz, co podobało ci się (lub nie) w tej grze i czy polecasz ją innym użytkownikom. Pamiętaj o zachowaniu uprzejmości i stosowaniu się do zasad i wytycznych.",1562143456,1562143456,1,0,0,0.0,0,1,0,0,0,
53328283,10,Counter-Strike,english,A good game even he is from 1999 :D,1562149167,1562149167,1,0,0,0.0,0,1,0,0,0,
53331466,10,Counter-Strike,english,sa moara familia mea rip icsicsics spolai mulai,1562150676,1562150676,1,1,0,0.523809552192688,0,1,0,0,0,
53338452,10,Counter-Strike,russian,10 syk@ bly@t iz 10 >),1562153947,1562153947,1,1,0,0.502921044826508,0,1,0,0,0,
53344094,10,Counter-Strike,russian,Тут и без слов все понятно :),1562156528,1562156528,1,0,0,0.0,0,1,0,0,0,
53345006,10,Counter-Strike,russian,интересная игра,1562156925,1562156925,1,0,0,0.0,0,1,0,0,0,
53347055,10,Counter-Strike,english,legendary.,1562157795,1562157795,1,0,0,0.475319921970367,0,1,0,0,0,
